Link,Name,Property Type,No of Rooms,Property Size (sq. ft),Monthly Rent,Property Address
https://www.mudah.my/bilik-wanita-untuk-di-sewa-kangar-106434558.htm,Bilik Wanita Untuk di Sewa Kangar,Houses,,140,RM 200,Perlis
https://www.mudah.my/bilik-sewa-106405883.htm,Bilik Sewa,Houses,,200,RM 350,Perlis
https://www.mudah.my/tmn-ria-sebelah-uitm-106405668.htm,Tmn RIA sebelah Uitm,Terraced House,3,800,RM 450,Perlis
https://www.mudah.my/Adjoining+Office+Lot+for+Rent+at+Jalan+Bukit+Lagi-105282458.htm,Adjoining Office Lot for Rent at Jalan Bukit Lagi,Shop lot,,1200,RM 700,Perlis
https://www.mudah.my/kedai-untuk-di-sewa-106395573.htm,Kedai Untuk Di Sewa,Shop lot,,1300,"RM 2,000",Perlis
https://www.mudah.my/medium-room-di-arau-untuk-disewa-106381848.htm,Medium Room di Arau untuk disewa,Houses,,900,RM 250,Perlis
https://www.mudah.my/bilik-sewa-pelajar-bujang-muslimah-106381257.htm,Bilik Sewa Pelajar/Bujang Muslimah,Houses,,600,RM 250,Perlis
https://www.mudah.my/Ruang+Pejabat+untuk+disewa+di+Pusat+Bandar+Kangar-105582023.htm,Ruang Pejabat untuk disewa di Pusat Bandar Kangar,Office space,,1309,RM 900,Perlis
https://www.mudah.my/ground-floor-shop-untuk-disewa-taman-seri-hartamas-kangar-106358630.htm,"Ground floor shop untuk disewa Taman Seri Hartamas, Kangar",Shop lot,,1400,"RM 1,750",Perlis
https://www.mudah.my/bilik-untuk-disewa-dan-baru-siap-dibina-106325839.htm,Bilik untuk disewa dan baru siap dibina,Houses,,1400,RM 400,Perlis
https://www.mudah.my/Kangar+Jaya+The+most+happening+township+in+Kangar-102840219.htm,Kangar Jaya >> The most happening township in Kangar,Shop lot,,1200,"RM 2,500",Perlis
https://www.mudah.my/bilik-lelaki-106287065.htm,Bilik lelaki,Houses,,12,RM 210,Perlis
https://www.mudah.my/bilik-lelaki-106286650.htm,Bilik lelaki,Houses,,22,RM 260,Perlis
https://www.mudah.my/shop-lot-hot-spot-pengkalan-indah-kangar-106282254.htm,Shop lot hot spot Pengkalan Indah Kangar,Shop lot,,1400,"RM 1,250",Perlis
https://www.mudah.my/bandar-baharu-putra-height-106272298.htm,Bandar Baharu Putra Height,Terraced House,2,1300,RM 500,Perlis
https://www.mudah.my/bilik-lelaki-106250644.htm,Bilik lelaki. ,Houses,,12,RM 260,Perlis
https://www.mudah.my/rumah-untuk-disewa-di-arau-106228003.htm,Rumah untuk disewa di Arau,Semi-Detached House,3,1000,RM 380,Perlis
https://www.mudah.my/Kedai+untuk+DISEWA+di+Hot+Area+di+PERLIS+Kangar+Jaya-103999015.htm,"Kedai untuk DISEWA di Hot Area di PERLIS,Kangar Jaya",Shop lot,,1200,"RM 1,000",Perlis
https://www.mudah.my/rumah-2-tingkat-fully-furnished-area-kangar-untuk-disewa-106200617.htm,Rumah 2 Tingkat Fully Furnished Area Kangar untuk disewa,Semi-Detached House,4,3500,"RM 1,500",Perlis
https://www.mudah.my/RUMAH+UNTUK+DISEWA+Taman+Kemajuan+Kangar-106169784.htm,"RUMAH UNTUK DISEWA - Taman Kemajuan, Kangar",Terraced House,3,1000,RM 950,Perlis
https://www.mudah.my/2+Units+Ground+Floor+Shop+Lot+Kangar+Area+HIGH+TRAFFIC+-104057360.htm,2 Units Ground Floor Shop Lot Kangar Area - HIGH TRAFFIC!,Shop lot,,1100,"RM 2,800",Perlis
https://www.mudah.my/+PRIME+LOCATION+Kangar+Jaya+Unit+Shop+Lot+Office+For+Rent-103853379.htm,[PRIME LOCATION] Kangar Jaya Unit Shop Lot / Office - For Rent,Shop lot,,1100,"RM 1,000",Perlis
https://www.mudah.my/bilik+sewa-106142571.htm,bilik sewa,Others,,120,RM 380,Perlis
https://www.mudah.my/bilik+sewa+arau+perlis-106132325.htm,bilik sewa arau perlis,Terraced House,3,90,RM 270,Perlis
https://www.mudah.my/own-106117521.htm,own,Shoplot,,80,RM 250,Perlis
https://www.mudah.my/Shoplot+For+Rent+At+Kangar+Jaya+Perlis-104934274.htm,Shoplot For Rent At Kangar Jaya Perlis,Shop lot,,1200,"RM 2,300",Perlis
https://www.mudah.my/Teres+2+Tingkat+Corner+Lot+untuk+DISEWA-106063439.htm,Teres 2 Tingkat (Corner Lot) untuk DISEWA,2-storey Terraced House,6,1499,"RM 1,300",Perlis
https://www.mudah.my/Bandar+Tasek+Mutiara+Simpang+Ampat+FULLY+FURNISHED+Behind+C+MART-105066737.htm,Bandar Tasek Mutiara Simpang Ampat FULLY FURNISHED Behind C MART,Semi-Detached House,4,2800,"RM 2,500",Perlis
https://www.mudah.my/Taman+Guru+Jaya+Bilik+Seorang+Untuk+Disewa-106034026.htm,Taman Guru Jaya - Bilik Seorang Untuk Disewa,Houses,,300,RM 400,Perlis
https://www.mudah.my/Sewa+Shop+Office+2+Tingkat+Lot+Tengah+Kangar+Jaya-98398926.htm,Sewa - Shop Office 2 Tingkat - Lot Tengah - Kangar Jaya,Shop lot,,1200,"RM 1,000",Perlis
https://www.mudah.my/Bilik+Sewa+Perlis-105980228.htm,Bilik Sewa Perlis,Others,,1000,RM 350,Perlis
https://www.mudah.my/JALAN+RAJA+MUDA+TAMAN+AMAN+Ruangan+untuk+di+sewa-104903528.htm,JALAN RAJA MUDA TAMAN AMAN- Ruangan untuk di sewa,Shop lot,,143,"RM 1,200",Perlis
https://www.mudah.my/Rumah+untuk+disewa+-105975416.htm,Rumah untuk disewa ,2-storey Terraced House,3,800,RM 800,Perlis
https://www.mudah.my/Shop+lot+kuala+perlis-105967163.htm,Shop lot kuala perlis,Shop lot,,1600,"RM 1,500",Perlis
https://www.mudah.my/Rumah+untuk+disewa+hampir+uitm+arau-103546162.htm,Rumah untuk disewa hampir uitm arau,Terraced House,3,800,RM 350,Perlis
https://www.mudah.my/Rumah+utk+disewa+Taman+Kemajuan-105905564.htm,Rumah utk disewa Taman Kemajuan,2-storey Terraced House,3,800,RM 800,Perlis
https://www.mudah.my/Bilik+Sewa+Bujang+area+Arau+-105889729.htm,Bilik Sewa Bujang area  Arau ,Condo / Services residence / Penthouse / Townhouse,,800,RM 200,Perlis
https://www.mudah.my/Perlis+Kangar+Town+Area+Newly+Renovation+Ground+Floor+Shoplot-105879774.htm,Perlis Kangar Town Area Newly Renovation Ground Floor Shoplot,Shop lot,,1500,"RM 3,000",Perlis
https://www.mudah.my/Perlis+Pusat+Bandar+Kangar+Newly+SOHO+Unit+Included+WIFI+Aircond-105879510.htm,Perlis Pusat Bandar Kangar Newly SOHO Unit Included WIFI Aircond,Soho,,700,"RM 1,350",Perlis
https://www.mudah.my/kedai+cornerlot+Untuk+Disewa+Di+Pauh-105857455.htm,kedai (cornerlot) Untuk Disewa Di Pauh,Shop lot,,1625,"RM 2,000",Perlis
https://www.mudah.my/Kedai+Tingkat+Atas+Pauh+untuk+disewa-105856787.htm,Kedai (Tingkat Atas ) Pauh untuk disewa,Shop lot,,1200,RM 750,Perlis
https://www.mudah.my/Perlis+Ground+Floor+Shoplot+Business+Centre+Kangar+Jaya+For+Rent-105847646.htm,Perlis Ground Floor Shoplot Business Centre Kangar Jaya For Rent,Shop lot,,1200,"RM 2,900",Perlis
https://www.mudah.my/Kedai+Ada+Tanah+Luas+di+Belakang+Untuk+Disewa-105052944.htm,Kedai Ada Tanah Luas di Belakang Untuk Disewa,Shop lot,,2109,"RM 1,500",Perlis
https://www.mudah.my/Rumah+Sewa-105824102.htm,Rumah Sewa,2-storey Terraced House,1,300,RM 400,Perlis
https://www.mudah.my/Medium+Room+untuk+disewa+kepada+perempuan+di+Arau+Perlis-105815538.htm,Medium Room untuk disewa kepada perempuan di Arau Perlis,Houses,,900,RM 250,Perlis
https://www.mudah.my/+Bilik+Sewa+Untuk+Perempuan+Di+Arau+Kemasukan+Segera-105815525.htm, Bilik Sewa Untuk Perempuan Di Arau Kemasukan Segera,Houses,,900,RM 230,Perlis
https://www.mudah.my/Bilik+private+untuk+di+sewa-105791671.htm,Bilik private untuk di sewa,Shop lot,,100,RM 350,Perlis
https://www.mudah.my/Rumah+sewa+untuk+pelajar+lelaki-105786084.htm,Rumah sewa untuk pelajar lelaki,2-storey Terraced House,4,1800,RM 100,Perlis
https://www.mudah.my/Kangar+Jaya+Shoplot+kangar+PERLIS+-104864791.htm,Kangar Jaya -Shoplot- kangar (PERLIS),Shop lot,,1200,"RM 1,000",Perlis
https://www.mudah.my/Bilik+sewa+utk+Perempuan+Muslimah-103221231.htm,Bilik sewa utk Perempuan Muslimah,Houses,,3000,RM 350,Perlis
https://www.mudah.my/Rumah+sewa+arau+berdekatan+UiTM-105757437.htm,Rumah sewa arau berdekatan UiTM,Terraced House,4,950,"RM 1,300",Perlis
https://www.mudah.my/Bilik+Sewa+Tmn+Beseri+Indah-103332228.htm,Bilik Sewa Tmn Beseri Indah,Houses,,150,RM 380,Perlis
https://www.mudah.my/Bilik+Sewa+Sharing+room+Perempuan-105698450.htm,Bilik Sewa Sharing room Perempuan,Terraced House,3,1400,RM 250,Perlis
https://www.mudah.my/Bilik+Sewa+Perempuan+di+Arau+Perlis-105694920.htm,Bilik Sewa Perempuan di Arau Perlis,Houses,,900,RM 230,Perlis
https://www.mudah.my/Bilik+Master+Untuk+Disewa+Kemasukan+Segera+Toilet+Dalam+Bilik-105694897.htm,Bilik Master Untuk Disewa Kemasukan Segera - Toilet Dalam Bilik,Houses,,900,RM 270,Perlis
https://www.mudah.my/Bilik+Untuk+Disewa+Arau+Pauh+Perlis-105671404.htm,Bilik Untuk Disewa Arau Pauh Perlis,Condo / Services residence / Penthouse / Townhouse,,200,RM 450,Perlis
https://www.mudah.my/Tingkat+2+untuk+di+sewa-105657227.htm,Tingkat 2 untuk di sewa,Shop lot,,880,RM 700,Perlis
https://www.mudah.my/Shop+Lot+Ground+floor+to+rent-105655645.htm,Shop Lot (Ground floor) to rent,Shoplot,,1500,"RM 3,000",Perlis
https://www.mudah.my/Lot+kedai+murah+untuk+disewa+di+Kampung+Teluk+Jambu-97323392.htm,Lot kedai murah untuk disewa di Kampung Teluk Jambu,Shop lot,,240,RM 500,Perlis
https://www.mudah.my/SOHO+unit+for+rent-105644394.htm,SOHO unit for rent,Condo / Services residence / Penthouse / Townhouse,,700,"RM 1,350",Perlis
https://www.mudah.my/Kedai+SOHO+units+untuk+Sewa+for+rent+-105634306.htm,Kedai / SOHO units untuk Sewa (for rent),Shop lot,,4500,"RM 7,000",Perlis
https://www.mudah.my/Bilik+Untuk+Disewa-105614926.htm,Bilik Untuk Disewa,Houses,,100,RM 450,Perlis
https://www.mudah.my/1+Room+To+Rent+For+Malay+Single+Lady-98307403.htm,1 Room To Rent For Malay Single Lady,Houses,,144,RM 320,Perlis
https://www.mudah.my/Ruang+untuk+disewa-105591398.htm,Ruang untuk disewa,Office space,,1540,"RM 1,800",Perlis
https://www.mudah.my/Ruang+untuk+disewa-105585333.htm,Ruang untuk disewa,Office space,,1540,"RM 1,800",Perlis
https://www.mudah.my/Bilik+Sewa+Tmn+Melati+Beseri-105561916.htm,Bilik Sewa Tmn Melati Beseri,Houses,,120,RM 350,Perlis
https://www.mudah.my/Bilik+Untuk+Disewa+Taman+Hijrah+Kangar+Perlis-105561843.htm,"Bilik Untuk Disewa Taman Hijrah , Kangar Perlis",Houses,,200,RM 155,Perlis
https://www.mudah.my/Kedai+Sewa+Kangar-105535875.htm,Kedai Sewa Kangar,Shop lot,,1100,"RM 3,500",Perlis
https://www.mudah.my/taman+bintong+aman+kangar-105531324.htm,taman bintong aman kangar,2-storey Terraced House,4,1650,"RM 1,400",Perlis
https://www.mudah.my/ROOMS+FOR+RENT+in+Kangar+Perlis-100168469.htm,ROOMS FOR RENT in Kangar Perlis,Others,,80,RM 250,Perlis
https://www.mudah.my/Rumah+Sewa+di+Kg+Syed+Omar+Kangar+Perlis+Lrg+Alor+Dahanan+-105485921.htm,"Rumah Sewa di Kg. Syed Omar, Kangar, Perlis (Lrg. Alor Dahanan)",Others,2,600,RM 350,Perlis
https://www.mudah.my/Taman+20+Datuk+Kayaman+Beseri-105441282.htm,"Taman 20 Datuk Kayaman, Beseri",2-storey Terraced House,2,800,RM 550,Perlis
https://www.mudah.my/Bilik+Murah+1km+dari+UiTM+Arau-104166439.htm,"Bilik Murah 1km dari UiTM,Arau",Houses,,40,RM 200,Perlis
https://www.mudah.my/Rumah+Untuk+Disewa-105376519.htm,Rumah Untuk Disewa,Bungalow House,3,600,RM 500,Perlis
